Cod,N,S,B,H,N_std,S_std,B_std,H_std,native_std,cc_index_std
AR_02_D_1,35,10,8506.8,2.0983995958898056,28.448275862068968,44.44444444444444,46.37690067465718,79.17230410632789,1,39.888385017499694
AR_02_D_2,31,11,7297.1,2.1455014354744373,25,50,39.29548813861937,81.25126332843048,1,39.30935029340996
AR_02_D_3,35,10,7527.0999999999995,1.9605287876281814,28.448275862068968,44.44444444444444,40.64187557623919,73.087026103985,1,37.52432439734751
AR_02_R_1,74,15,8789.499999999998,1.8365293883943576,62.06896551724138,72.22222222222221,48.03178645124466,67.6139979410584,1,50.18739442635333
AR_02_R_2,72,15,10814.5,1.962216316928199,60.3448275862069,72.22222222222221,59.88584976072353,73.16150949214516,1,53.32288181225956
AR_02_R_3,76,13,12605.65,2.0201580050313703,63.793103448275865,61.111111111111114,70.37098827764851,75.71891293728753,1,54.3988231548646
AR_03_D_1,23,15,8904.95,2.570281285762038,18.103448275862068,72.22222222222221,48.707614406345584,100,1,48.00665698088598
AR_03_D_2,26,11,6135.323333333334,2.2685112232853943,20.689655172413794,50,32.49461201114185,86.6806124798363,1,38.17297593267839
AR_03_D_3,26,14,5886.65,2.5176437283191193,20.689655172413794,66.66666666666666,31.03891352387642,97.67670782203129,1,43.41438863699763
AR_03_R_1,118,9,17667.1,0.595085352952597,100,38.88888888888889,100,12.8197149795919,1,50.541720773696156
AR_03_R_2,77,6,11399,0.3448448949815283,64.65517241379311,22.22222222222222,63.30743000980521,1.774717322815162,1,30.59190839372714
AR_03_R_3,89,13,14034.199999999999,0.945100633568994,75,61.111111111111114,78.7335177298737,28.268527635981428,1,48.82263129539324
AR_06_D_1,19,10,10233.625,2.2148103680507085,14.655172413793101,44.44444444444444,56.48548974843043,84.31038895545885,1,40.17909911242536
AR_06_D_2,27,11,7009.531666666667,2.1275045611092667,21.551724137931032,50,37.61210382793559,80.45692560700736,1,38.124150714574796
AR_06_D_3,16,8,3203.7916666666665,1.8734517375545654,12.068965517241379,33.33333333333333,15.333840667730117,69.24365952041954,1,26.195959807744874
AR_06_R_1,24,9,3550.1800000000003,2.012280548614049,18.96551724137931,38.88888888888889,17.361548930939108,75.37122140740416,1,30.31743529372229
AR_06_R_2,31,15,3187.9056060606063,2.3972955320666562,25,72.22222222222221,15.240845918020263,92.36483476847637,1,41.16558058174377
AR_06_R_3,39,13,3306.741666666667,2.167415729730385,31.896551724137932,61.111111111111114,15.936495392525599,82.21850631811061,1,38.432532909177056
AR_10_D_1,24,12,3519.7599999999998,2.3152501269136425,18.96551724137931,55.55555555555556,17.18347455766782,88.74355260246827,1,36.28961999141419
AR_10_D_2,70,20,13345.723333333333,2.424973760188893,58.620689655172406,100,74.7032727946808,93.58648360668776,1,65.5820892113082
AR_10_D_3,25,11,4161.37,2.1924759563043477,19.82758620689655,50,20.939368661368924,83.32460301419206,1,35.01831157649151
AR_10_R_1,30,11,6103.68,1.985231411071863,24.137931034482758,50,32.309376417731336,74.17733907840915,1,36.324929306124645
AR_10_R_2,58,12,5743.7,1.865375830605237,48.275862068965516,55.55555555555556,30.20210446210358,68.88720887269099,1,40.78414619186313
AR_10_R_3,43,7,5672.2699999999995,1.6588020770285996,35.3448275862069,27.77777777777778,29.78396335484626,59.76955202893105,1,30.735224149552398
AR_11_D_1,38,14,16255.836666666666,2.3786201994102125,31.03448275862069,66.66666666666666,91.73866424707184,91.54055156861986,1,56.39607304819581
AR_11_D_2,37,14,6209.528925438596,2.374677160670515,30.17241379310345,66.66666666666666,32.929001041627345,91.3665155474519,1,44.426919409769866
AR_11_D_3,32,10,7591.0160000000005,1.8598229372611448,25.862068965517242,44.44444444444444,41.016030791295314,68.64211783317202,1,36.1929324068858
AR_11_R_1,48,16,4992.7266666666665,2.321367276084995,39.6551724137931,77.77777777777779,25.80601288824496,89.01354850485569,1,46.65050231693431
AR_11_R_2,33,13,6525.939444444444,2.141103934309389,26.72413793103448,61.111111111111114,34.781223423889266,81.05716845481398,1,40.934728184169764
AR_11_R_3,73,9,4068.5003777777783,0.8738056945604276,61.206896551724135,38.88888888888889,20.39572304094937,25.121744575103648,1,29.32265061133321
AR_16_D_1,28,11,9598.04,1.8442720882566566,22.413793103448278,50,52.76486514173655,67.9557416484093,1,38.82687997871883
AR_16_D_2,36,12,7894.78,2.0809472120552086,29.310344827586203,55.55555555555556,42.79422224173508,78.40199885624487,1,41.412424296224344
AR_16_D_3,29,10,6030.08,1.8523132455771425,23.275862068965516,44.44444444444444,31.878532437692993,68.3106585330835,1,33.78189949683728
AR_16_R_1,28,13,6611.96,2.413303860777408,22.413793103448278,61.111111111111114,35.28477557770265,93.07140298103779,1,42.57621655465997
AR_16_R_2,43,17,5862.08,2.4212456040662036,35.3448275862069,83.33333333333334,30.895084222388082,93.42193197513679,1,48.799035423413024
AR_16_R_3,25,14,9130.01,2.5115946800294893,19.82758620689655,66.66666666666666,50.0250837833487,97.40971772488074,1,46.98581087635853
AR_17_D_1,24,7,4921.633333333333,1.7117327410493703,18.96551724137931,27.77777777777778,25.389842579990535,62.10578120954037,1,27.0477837617376
AR_17_D_2,17,8,5433.631666666667,1.870568889415637,12.931034482758621,33.33333333333333,28.38700833687004,69.11641770190037,1,28.95355877097247
AR_17_D_3,29,9,6539.566666666667,1.8303312888565786,23.275862068965516,38.88888888888889,34.860995253496455,67.34042908881807,1,33.07323506003379
AR_17_R_1,24,11,7464.575625,2.282174095733918,18.96551724137931,50,40.27586673691297,87.28365802811543,1,39.50500840128154
AR_17_R_2,28,12,10334.105,2.2859319511147946,22.413793103448278,55.55555555555556,57.07368544291755,87.44952051179537,1,44.698510922743345
AR_17_R_3,23,9,7390.057083333333,2.0880919427638154,18.103448275862068,38.88888888888889,39.83964574400101,78.7173496775097,1,35.30986651725233
AR_96_D_1,27,6,5180.285714285714,1.4858628765891237,21.551724137931032,22.22222222222222,26.90395699922854,52.136441543496716,1,24.7628689805757
AR_96_D_2,16,3,5203.700000000001,0.46341355882642993,12.068965517241379,5.555555555555555,27.041020912909225,7.008046197578867,1,10.534717636657003
AR_96_D_3,15,8,5737.4,1.9913464134109882,11.206896551724139,33.33333333333333,30.165225154029645,74.44724022490814,1,30.030539052799053
AR_96_R_1,11,4,2263.75,1.2406842919533958,7.758620689655173,11.11111111111111,9.830969837994468,41.31486251207353,1,14.203112830166855
AR_96_R_2,11,4,1342.82,1.1209503926735833,7.758620689655173,11.11111111111111,4.43997599918046,36.0301030143301,1,12.06796216285537
AR_96_R_3,2,2,682,0.6931471805599453,0,0,0.5716292751459805,17.14792259607423,1,3.7439103742440425
AR_97_D_1,33,11,4836.600357142857,1.9992211698510796,26.72413793103448,50,24.89207157596322,74.79481258444464,1,35.482204418288475
AR_97_D_2,25,7,3737.6178571428572,1.6107743659691276,19.82758620689655,27.77777777777778,18.45878361003268,57.64972711966898,1,24.942774942875197
AR_97_D_3,19,7,4312.178063909774,1.785262043666377,14.655172413793101,27.77777777777778,21.82217771675974,65.35118357850166,1,26.121262297366457
AR_97_R_1,44,10,3521.2566666666667,1.7287300093165765,36.206896551724135,44.44444444444444,17.19223583244306,62.85599877909341,1,32.33991512154101
AR_97_R_2,52,6,2863.346666666667,1.0032868070532042,43.103448275862064,22.22222222222222,13.340923836423684,30.836722063855305,1,22.100663279672656
AR_97_R_3,26,6,2474.536666666667,1.279614564908273,20.689655172413794,22.22222222222222,11.064885142419499,43.03314890369295,1,19.601982288149692
CN_10_D_1,4,4,897.04,1.3862943611198906,1.7241379310344827,11.11111111111111,1.8304429907362685,47.74173243465404,1,12.68148489350718
CN_10_D_2,9,5,847.49,1.4270610433807247,6.0344827586206895,16.666666666666664,1.540384305805564,49.54107341131391,1,14.956521428481366
CN_10_D_3,4,3,638.7900000000001,1.0397207708399179,1.7241379310344827,5.555555555555555,0.31868405262618754,32.44482751536413,1,8.208641010916072
CN_10_R_1,8,2,3168.43,0.37677016125643675,5.172413793103448,0,15.126838477411422,3.1838199677563903,1,4.896614447654253
CN_10_R_2,12,4,4959.595,1.198849312913621,8.620689655172415,11.11111111111111,25.612064802212757,39.46836954601991,1,17.16244702290324
CN_10_R_3,10,3,2949.088,0.8018185525433373,6.896551724137931,5.555555555555555,13.842841462879221,21.94440937781616,1,9.847871624077774
CN_11_D_1,19,10,3035.4814705882354,2.1143081309515277,14.655172413793101,44.44444444444444,14.348576608498254,79.87446767293942,1,30.864532227935047
CN_11_D_2,28,11,5040.165,2.202090305248569,22.413793103448278,50,26.083710175469406,83.7489567035249,1,36.649291996488515
CN_11_D_3,32,8,2641.575,1.6555900246251725,25.862068965517242,33.33333333333333,12.042703897206247,59.62777994476471,1,26.37317722816431
CN_11_R_1,47,16,6163.0616666666665,2.4630404525441953,38.793103448275865,77.77777777777779,32.65698828740493,95.26665367700532,1,49.098904638092776
CN_11_R_2,24,6,4208.24,1.4549076066582776,18.96551724137931,22.22222222222222,21.213739005722147,50.77015214879533,1,22.834326123623804
CN_11_R_3,28,11,3205.54,2.1374004124233776,22.413793103448278,50,15.34407516354217,80.89370411781397,1,33.93031447696088
CN_16_D_1,11,5,2092.39,1.4681399390162087,7.758620689655173,16.666666666666664,8.827852658383458,51.35419471757907,1,17.12146694645687
CN_16_D_2,7,4,2095.45,1.1537419427010902,4.310344827586207,11.11111111111111,8.845765465162224,37.477441291091736,1,12.548932538990254
CN_16_D_3,24,8,5076.42,1.5358551955461086,18.96551724137931,33.33333333333333,26.29594181264726,54.34297940797174,1,26.787554359066327
CN_16_R_1,15,9,2820.86,2.1186492470699507,11.206896551724139,38.88888888888889,13.092212904830896,80.06607384943277,1,28.85081443897534
CN_16_R_2,19,10,3569.8650000000002,2.128549004875151,14.655172413793101,44.44444444444444,17.47678213402409,80.50302478313723,1,31.615884755079776
CN_16_R_3,14,6,3444.75,1.6731183626432506,10.344827586206897,22.22222222222222,16.74437663725103,60.40143762548733,1,22.142572814233496
CN_17_D_1,9,5,1805.0646666666667,1.464816384890813,6.0344827586206895,16.666666666666664,7.145890835296815,51.20750122195171,1,16.410908296507177
CN_17_D_2,7,5,1240.5373333333334,1.5498260458782016,4.310344827586207,16.666666666666664,3.8412277492402183,54.95961834170877,1,16.15557151704037
CN_17_D_3,3,3,824.2166666666667,1.0986122886681096,0.8620689655172413,5.555555555555555,1.40414550740757,35.044154105837386,1,8.77318482686355
CN_17_R_1,8,4,8085.418333333334,1.073542846408523,5.172413793103448,11.11111111111111,43.91019205533848,33.93765065208393,1,19.026273522327394
CN_17_R_2,11,6,1970.27875,1.7201934592198251,7.758620689655173,22.22222222222222,8.11303068885279,62.479216477062636,1,20.314618015558562
CN_17_R_3,6,4,1991.495,1.242453324894,3.4482758620689653,11.11111111111111,8.237227612650187,41.39294327024571,1,13.037911571215194
CS_10_D_1,9,5,1107.06,1.464816384890813,6.0344827586206895,16.666666666666664,3.0598703370358984,51.20750122195171,1,15.593704196854992
CS_10_D_2,8,7,584.35,1.9061547465398494,5.172413793103448,27.77777777777778,0,70.68708981358888,1,20.927456276894024
CS_10_D_3,6,4,610.12,1.242453324894,3.4482758620689653,11.11111111111111,0.15085393159766422,41.39294327024571,1,11.42063683500469
CS_10_R_1,12,3,1871,1.0397207708399179,8.620689655172415,5.555555555555555,7.531866941798013,32.44482751536413,1,11.030587933578023
CS_10_R_2,28,6,3150.4,1.5504655124972422,22.413793103448278,22.22222222222222,15.02129341001888,54.9878428237376,1,23.129030311885394
CS_10_R_3,7,4,1679,1.1537419427010902,4.310344827586207,11.11111111111111,6.407926124306684,37.477441291091736,1,12.061364670819149
CS_11_D_1,29,6,5391.803,1.440127000531816,23.275862068965516,22.22222222222222,28.142149244120528,50.11777258812741,1,24.951601224687135
CS_11_D_2,16,7,3294.0400000000004,1.4500064999181645,12.068965517241379,27.77777777777778,15.862141634104582,50.553829365105344,1,21.452542858845817
CS_11_D_3,18,6,5273.530000000001,1.0379083330628327,13.793103448275861,22.22222222222222,27.449795846687447,32.364830974583846,1,19.365990498353874
CS_11_R_1,18,8,3304.0099999999998,1.966175517149571,13.793103448275861,33.33333333333333,15.920504602596186,73.33625884132043,1,27.47664004510516
CS_11_R_2,36,11,4724.75,2.029041909725341,29.310344827586203,50,24.237315420526553,76.11102661596087,1,36.131737372814726
CS_11_R_3,23,11,1921.708,2.0505681941831484,18.103448275862068,50,7.8287043947842125,77.06114380853361,1,30.79865929583598
CS_16_D_1,16,6,3638.77,1.6304325826288886,12.068965517241379,22.22222222222222,17.880142248759714,58.517392399312016,1,22.337744477507066
CS_16_D_2,6,2,1655.6200000000001,0.45056120886630463,3.4482758620689653,0,6.271062914343418,6.4407751162173135,1,3.432022778525939
CS_16_D_3,10,3,2857.29,0.9433483923290392,6.896551724137931,5.555555555555555,13.305468967233027,28.191188022130316,1,10.989752853811364
CS_16_R_1,12,7,1369.41,1.791759469228055,8.620689655172415,27.77777777777778,4.59563009468616,65.6379639444172,1,21.52641229441071
CS_16_R_2,13,8,2107,1.9512595041439562,9.482758620689655,33.33333333333333,8.913377529964437,72.67790275441415,1,25.081474447680314
CS_16_R_3,28,10,2559.0099999999998,1.883296059717192,22.413793103448278,44.44444444444444,11.559380076392852,69.678163661358,1,29.819156257128714
CS_17_D_1,4,2,1292.0300000000002,0.5623351446188083,1.7241379310344827,0,4.142658529803458,11.374201423396816,1,3.6481995768469515
CS_17_D_2,7,3,2239.435,0.9556998911125343,4.310344827586207,5.555555555555555,9.688633270404354,28.73635276578322,1,9.858177283865867
CS_17_D_3,7,3,1673.4675,0.9556998911125343,4.310344827586207,5.555555555555555,6.375539652573502,28.73635276578322,1,9.195558560299697
CS_17_R_1,22,6,2200.515,1.6187645722588206,17.24137931034483,22.22222222222222,9.460801100525384,58.00239515129889,1,21.585359556878267
CS_17_R_2,8,3,750.975,0.9002560512685369,5.172413793103448,5.555555555555555,0.9753991599713161,26.289198192438988,1,7.798513340213861
CS_17_R_3,9,5,1339.03,1.5229550675313184,6.0344827586206895,16.666666666666664,4.417789875751855,53.773599520919454,1,16.378507764391735
CS_96_D_1,15,4,3797.79,1.020036958401841,11.206896551724139,11.11111111111111,18.81102281541321,31.57603250108979,1,14.74101259586765
CS_96_D_2,20,6,3985.5,1.2706817223249798,15.517241379310345,22.22222222222222,19.909850580263715,42.63887522708292,1,20.25763788177584
CS_96_D_3,5,3,1562.7,1.0549201679861442,2.586206896551724,5.555555555555555,5.727122389545009,33.11569148047044,1,9.596915264424545
CS_96_R_1,6,4,1434,1.3296613488547582,3.4482758620689653,11.11111111111111,4.973730810320352,45.24209071869733,1,13.15504170043955
CS_96_R_2,9,3,1502.75,1.0608569471580214,6.0344827586206895,5.555555555555555,5.37618357700019,33.37772629519958,1,10.268789637275201
CS_96_R_3,9,3,1498.9,0.6837389058487535,6.0344827586206895,5.555555555555555,5.35364622206612,16.732664515978172,1,6.935269810444107
CS_97_D_1,12,3,698,0.8239592165010823,8.620689655172415,5.555555555555555,0.6652910099369245,22.921643768751647,1,7.752635997883308
CS_97_D_2,15,5,8552.260357142857,1.4019454593787286,11.206896551724139,16.666666666666664,46.64301916929568,48.43253337466364,1,24.789823152470024
CS_97_D_3,5,2,973.46,0.6730116670092565,2.586206896551724,0,2.2777948515315156,16.25919060689658,1,4.424638470995964
CS_97_R_1,37,8,2192.25,1.5835577737316138,30.17241379310345,33.33333333333333,9.412418960647436,56.448453752739866,1,26.073323967964814
CS_97_R_2,55,6,3263.25,0.6973264787773306,45.689655172413794,22.22222222222222,15.681901333216256,17.33238652885415,1,20.38523305134128
CS_97_R_3,11,2,1024.9,0.30463609734923813,7.758620689655173,0,2.578917328884401,0,1,2.267507603707915
